Corozal Town	Corozal	18.39375	-88.38849	10153
Altamira	Corozal	18.40171	-88.38044	211
Buena Vista	Corozal	18.23688	-88.52662	508
Calcutta	Corozal	18.3618	-88.43878	852
Caledonia	Corozal	18.22735	-88.47745	1373
Carolina	Corozal	18.36553	-88.42827	235
Chan Chen	Corozal	18.43333	-88.41667	869
Chunox	Corozal	18.29785	-88.35746	1821
Concepcion	Corozal	18.32308	-88.47419	1481
Consejo	Corozal	18.45736	-88.30134	579
Copper Bank	Corozal	18.32133	-88.35441	593
Cristo Rey	Corozal	18.34856	-88.49545	872
Libertad	Corozal	18.30791	-88.45444	1489
Little Belize	Corozal	18.198	-88.40792	2888
Louisville	Corozal	18.31946	-88.50982	892
Neuland	Corozal	18.0519	-88.24824	1080
Paraiso	Corozal	18.40783	-88.39422	1267
Patchakan	Corozal	18.40056	-88.4715	1517
Progreso	Corozal	18.23085	-88.41073	1403
Ranchito	Corozal	18.37753	-88.41031	1649
San Andres	Corozal	18.38922	-88.40939	1034
San Antonio	Corozal	18.40175	-88.3998	702
San Joaquin	Corozal	18.35271	-88.44199	1528
San Narciso	Corozal	18.30396	-88.52085	2784
San Pedro	Corozal	18.33765	-88.49491	608
San Roman	Corozal	18.2972	-88.50775	882
San Victor	Corozal	18.25864	-88.57601	1094
Santa Clara	Corozal	18.29412	-88.5122	975
Sarteneja	Corozal	18.35334	-88.14541	1874
Xaibe	Corozal	18.38654	-88.43393	1783
Yo Chen	Corozal	18.35479	-88.49774	115
Orange Walk Town	Orange Walk	18.08124	-88.56328	14689
August Pine Ridge	Orange Walk	17.9725	-88.72489	2160
Blue Creek	Orange Walk	17.8932	-88.88982	841
Carmelita	Orange Walk	18.01306	-88.5429	1936
Chan Pine Ridge	Orange Walk	18.03693	-88.58251	578
Douglas	Orange Walk	18.23519	-88.60145	586
Fire Burn	Orange Walk	17.86774	-88.62771	196
Guinea Grass	Orange Walk	17.96704	-88.59837	3821
Indian Church	Orange Walk	17.75392	-88.65744	236
Indian Creek	Orange Walk	17.75224	-88.71922	1080
San Antonio	Orange Walk	18.13112	-88.67418	479
San Carlos	Orange Walk	17.71849	-88.65379	188
San Estevan	Orange Walk	18.15413	-88.51129	2069
San Felipe	Orange Walk	17.873	-88.77334	1898
San Jose	Orange Walk	18.1958	-88.57121	3499
San Jose Palmar	Orange Walk	18.06204	-88.5635	2146
San Lazaro	Orange Walk	18.03849	-88.66316	1210
San Luis	Orange Walk	18.1918	-88.60296	287
San Pablo	Orange Walk	18.21061	-88.56605	1238
San Roman	Orange Walk	18.19242	-88.6425	491
Santa Cruz	Orange Walk	18.11526	-88.70602	304
Santa Marta	Orange Walk	17.97035	-88.38441	719
Shipyard	Orange Walk	17.89382	-88.65452	4070
Tower Hill	Orange Walk	18.02857	-88.55916	254
Trial Farm	Orange Walk	18.10124	-88.56584	5850
Trinidad	Orange Walk	18.02356	-88.68698	628
Yo Creek	Orange Walk	18.09098	-88.64607	1885
Belize City	Belize	17.49952	-88.19756	63999
San Pedro Town	Belize	17.91598	-87.9659	15455
Bermudian Landing	Belize	17.5573	-88.53573	395
Bird Walk	Belize	17.12257	-88.55473	147
Biscayne	Belize	17.71702	-88.45723	702
Bomba	Belize	17.89166	-88.27618	112
Boston	Belize	17.68333	-88.36667	166
Burrell Boom	Belize	17.56933	-88.40527	2615
Caye Caulker	Belize	17.73659	-88.02761	2729
Corozalito	Belize	17.83903	-88.27395	133
Crooked Tree	Belize	17.77599	-88.54203	910
Double Head Cabbage	Belize	17.54358	-88.5575	639
Flowers Bank	Belize	17.61407	-88.49292	249
Gales Point	Belize	17.17101	-88.3352	449
Gardenia	Belize	17.67042	-88.41884	507
Gracie Rock	Belize	17.3746	-88.44892	341
Green Hill Manatee	Belize	17.17063	-88.52909	177
Hattieville	Belize	17.44779	-88.39355	2184
Isabella Bank	Belize	17.58333	-88.53333	183
La Democracia	Belize	17.34076	-88.54472	301
Ladyville	Belize	17.55427	-88.29	7655
Lemonal	Belize	17.60807	-88.60299	292
Lords Bank	Belize	17.54462	-88.33328	4876
Lucky Strike	Belize	17.77922	-88.31685	477
Mahogany Heights	Belize	17.33853	-88.56723	869
Maskall	Belize	17.87788	-88.31174	1260
Rancho Dolores	Belize	17.53569	-88.6285	237
Rockstone Pond	Belize	17.75386	-88.34368	177
Sandhill	Belize	17.64038	-88.36828	2168
Santana	Belize	17.80324	-88.29657	132
Scotland Halfmoon	Belize	17.56621	-88.502	437
St. Anns	Belize	17.85374	-88.31079	132
St. Pauls Bank	Belize	17.51156	-88.59074	211
Western Paradise	Belize	17.47088	-88.29546	1414
Willows Bank	Belize	17.52894	-88.57274	403
Belmopan	Cayo	17.25376	-88.76401	20754
Benque Viejo Del Carmen	Cayo	17.075	-89.13917	7094
San Ignacio	Cayo	17.1588	-89.0696	12621
Santa Elena	Cayo	17.16142	-89.05462	8608
Arenal	Cayo	17.02351	-89.15252	871
Armenia	Cayo	17.1553	-88.7464	2421
Billy White	Cayo	17.21124	-89.0503	1057
Blackman Eddy	Cayo	17.22743	-88.91592	660
Buena Vista	Cayo	17.11667	-89.11667	911
Bullet Tree Falls	Cayo	17.168	-89.111	3518
Calla Creek	Cayo	17.12749	-89.1373	539
Cotton Tree	Cayo	17.27357	-88.71397	2338
Cristo Rey	Cayo	17.13139	-89.055	1237
Duck Run 1	Cayo	17.21853	-89.01635	758
Duck Run 2	Cayo	17.242	-89.02705	600
Duck Run 3	Cayo	17.25936	-89.04043	776
El Progresso (7 Miles)	Cayo	17.10218	-88.94933	954
Esperanza	Cayo	17.17453	-89.04415	1158
Franks Eddy	Cayo	17.26091	-88.63744	659
Georgeville	Cayo	17.19062	-88.97457	953
La Gracia	Cayo	17.35349	-88.93322	317
Los Tambos	Cayo	17.32374	-89.01153	715
Lower Barton Creek	Cayo	17.15841	-88.91478	518
More Tomorrow	Cayo	17.34734	-88.69204	387
New Holland	Cayo	17.17475	-88.88492	162
Ontario	Cayo	17.22121	-88.89189	960
Roaring Creek	Cayo	17.25947	-88.79617	2430
San Antonio	Cayo	17.07861	-89.02361	2738
San Jose Succotz	Cayo	17.08454	-89.13007	2424
San Marcos	Cayo	17.25477	-88.97286	271
Santa Familia	Cayo	17.18594	-89.07435	2600
Selena	Cayo	17.28848	-88.98953	435
Spanish Lookout	Cayo	17.21667	-88.98333	3108
Springfield	Cayo	17.14555	-88.80529	240
St. Margaret	Cayo	17.09047	-88.61096	1405
St. Mathews	Cayo	17.27431	-88.64432	1398
Teakettle	Cayo	17.2295	-88.85499	1999
Unitedville	Cayo	17.21031	-88.93385	1232
Upper Barton Creek	Cayo	17.12493	-88.94458	110
Valley of Peace	Cayo	17.33472	-88.83472	3246
Dangriga	Stann Creek	16.9697	-88.23313	10140
Alta Vista	Stann Creek	16.9937	-88.40523	334
Cowpen	Stann Creek	16.56667	-88.53333	1582
Georgetown	Stann Creek	16.65322	-88.50783	659
Hope Creek	Stann Creek	17.00265	-88.31251	1244
Hopkins	Stann Creek	16.86308	-88.28437	1767
Hummingbird Community	Stann Creek	17.04044	-88.53082	435
Independence	Stann Creek	16.5344	-88.41878	4878
Kendal, Sanctuary Bay	Stann Creek	16.81307	-88.37814	301
Long Bank, Melinda Road	Stann Creek	16.98037	-88.2657	132
Maya Beach	Stann Creek	16.61542	-88.35373	206
Maya Center	Stann Creek	16.79843	-88.38235	731
Maya Mopan	Stann Creek	16.66018	-88.52542	998
Middlesex	Stann Creek	17.03996	-88.52174	341
Mountain Valley Community	Stann Creek	16.9886	-88.38147	101
Mullins River	Stann Creek	17.10508	-88.30072	198
Placencia	Stann Creek	16.51419	-88.36647	1586
Pomona	Stann Creek	16.99514	-88.37424	2122
Red Bank	Stann Creek	16.76304	-88.49271	2323
San Juan	Stann Creek	16.56232	-88.51528	1039
San Roman	Stann Creek	16.65281	-88.47416	2195
Santa Cruz	Stann Creek	16.6975	-88.42548	3008
Santa Rosa	Stann Creek	16.6662	-88.45437	1958
Sarawee	Stann Creek	16.97145	-88.2738	732
Seine Bight	Stann Creek	16.56943	-88.36493	1895
Silk Grass	Stann Creek	16.88333	-88.33333	2627
Sittee River	Stann Creek	16.82093	-88.32385	462
South Stann Creek	Stann Creek	16.71867	-88.41596	176
Steadfast	Stann Creek	16.99913	-88.42445	694
Punta Gorda	Toledo	16.09835	-88.8097	5544
Aguacate	Toledo	16.16222	-89.09389	471
Barranco	Toledo	16.0	-88.91667	140
Bella Vista	Toledo	16.50948	-88.53169	6259
Big Falls	Toledo	16.25692	-88.89097	846
Bladen	Toledo	16.47194	-88.62452	766
Blue Creek	Toledo	16.19778	-89.04222	389
Cattle Landing	Toledo	16.11947	-88.79523	389
Conejo Creek	Toledo	16.04097	-89.00184	281
Corazon	Toledo	16.05528	-89.12417	270
Crique Jute	Toledo	16.26667	-89.01667	314
Crique Sarco	Toledo	15.98333	-89.1	481
Dolores	Toledo	15.98903	-89.21085	694
Dump	Toledo	16.22743	-88.93742	210
Elridgeville	Toledo	16.13818	-88.84068	652
Forest Home	Toledo	16.13873	-88.83302	517
Golden Stream	Toledo	16.3635	-88.80538	420
Graham Creek	Toledo	15.92851	-89.1122	135
Hicatee	Toledo	16.28294	-88.87659	530
Indian Creek	Toledo	16.31509	-88.8317	837
Jacintoville	Toledo	16.15288	-88.87707	441
Jalacte	Toledo	16.15806	-89.14667	759
Jordan	Toledo	16.15386	-89.01486	117
Laguna	Toledo	16.16907	-88.93795	300
Mabilha	Toledo	16.1006	-89.08706	263
Machakilha	Toledo	15.94105	-89.19097	166
Mafredi	Toledo	16.24418	-88.99268	176
Medina Bank	Toledo	16.44446	-88.74226	340
Midway	Toledo	16.05985	-88.95093	244
Monkey River	Toledo	16.36166	-88.48517	193
New Road Area	Toledo	16.10831	-88.81338	390
Otoxha	Toledo	16.02129	-89.17592	328
Pinehill	Toledo	16.24464	-88.82946	334
Pueblo Viejo	Toledo	16.20528	-89.14167	671
Roseville	Toledo	16.6387	-88.59201	159
San Antonio	Toledo	16.24361	-89.02417	1447
San Benito Poite	Toledo	16.11254	-89.18604	476
San Felipe	Toledo	16.13259	-88.90498	518
San Isidro	Toledo	16.51161	-88.5447	999
San Jose	Toledo	16.26713	-89.09363	889
San Lucas	Toledo	16.07679	-89.09852	135
San Marcos	Toledo	16.21675	-88.90095	868
San Miguel	Toledo	16.29304	-88.93197	812
San Pablo	Toledo	16.61218	-88.58039	599
San Pedro Columbia	Toledo	16.27153	-88.95437	1454
San Vicente	Toledo	16.23889	-89.19975	464
Santa Anna	Toledo	16.10415	-88.95443	346
Santa Cruz	Toledo	16.23433	-89.07661	532
Santa Elena	Toledo	16.22972	-89.10861	247
Santa Teresa	Toledo	16.13333	-89.05	344
Silver Creek	Toledo	16.27985	-88.89013	718
Sunday Wood	Toledo	16.0391	-89.02868	385
Tambran	Toledo	16.38638	-88.77524	110
Trio	Toledo	16.51529	-88.63577	1726
Yemeri Grove	Toledo	16.17236	-88.89682	426
Nuevo San Juan	Orange Walk	18.22755	-88.58086	461
Camalote	Cayo	17.2556	-88.7783	3132
Valley Community	Stann Creek	17.0022	-88.44942	988
Newland	Toledo	16.65571	-88.59343	210
