Apaneca|Ahuachapán
Concepción de Ataco|Tacuba
El Refugio|Atiquizaya
San Lorenzo|Atiquizaya
Turín|Atiquizaya
San Pedro Puxtla|Guaymango
Masahuat|Metapán
Santa Rosa Guachipilín|Metapán
Texistepeque|Metapán
El Porvenir|Chalchuapa
San Antonio Pajonal|Candelaria de La Frontera
Santiago de La Frontera|Candelaria de La Frontera
Nahulingo|San Antonio del Monte
Santo Domingo de Guzmán|San Antonio del Monte
Caluco|Izalco
Cuisnahuat|Izalco
Santa Isabel Ishuatán|Izalco
San Julián|Armenia
Salcoatitán|Juayúa
Santa Catarina Masahuat|Nahuizalco
Agua Caliente|Nueva Concepción
Dulce Nombre de María|Nueva Concepción
El Paraíso|Nueva Concepción
La Reina|Nueva Concepción
San Fernando|Nueva Concepción
San Francisco Morazán|Nueva Concepción
San Rafael|Nueva Concepción
Santa Rita|Nueva Concepción
Tejutla|Nueva Concepción
Citalá|Nueva Concepción
La Palma|Nueva Concepción
San Ignacio|Nueva Concepción
Arcatao|Chalatenango
Azacualpa|Chalatenango
Comalapa|Chalatenango
Concepción Quezaltepeque|Chalatenango
El Carrizal|Chalatenango
La Laguna|Chalatenango
Las Vueltas|Chalatenango
Nombre de Jesús|Chalatenango
Nueva Trinidad|Chalatenango
Ojos de Agua|Chalatenango
Potonico|Chalatenango
San Antonio de La Cruz|Chalatenango
San Antonio Los Ranchos|Chalatenango
San Francisco Lempa|Chalatenango
San Isidro Labrador|Chalatenango
Cancasque|Chalatenango
Las Flores|Chalatenango
San Luis del Carmen|Chalatenango
San Miguel de Mercedes|Chalatenango
Chiltiupán|La Libertad
Jicalapa|La Libertad
Tamanique|La Libertad
Teotepeque|La Libertad
Huizúcar|Zaragoza
Nuevo Cuscatlán|Antiguo Cuscatlán
San José Villanueva|Zaragoza
San Matías|Quezaltepeque
San Pablo Tacachico|Quezaltepeque
Jayaque|Colón
Sacacoyo|Colón
Talnique|Colón
Tepecoyo|Colón
Comasagua|Santa Tecla
El Paisnal|Aguilares
Rosario de Mora|Panchimalco
Oratorio de Concepción|San Pedro Perulapán
San Bartolomé Perulapía|San Pedro Perulapán
San José Guayabal|Suchitoto
Candelaria|Cojutepeque
El Carmen|Cojutepeque
El Rosario|Santiago Nonualco
Monte San Juan|Cojutepeque
San Cristóbal|Cojutepeque
San Rafael Cedros|Cojutepeque
San Ramón|Cojutepeque
Santa Cruz Analquito|Cojutepeque
Santa Cruz Michapa|Cojutepeque
Tenancingo|Cojutepeque
Jerusalén|Santiago Nonualco
Mercedes La Ceiba|Santiago Nonualco
Paraíso de Osorio|Santiago Nonualco
San Antonio Masahuat|Santiago Nonualco
San Emigdio|Santiago Nonualco
San Juan Tepezontes|Santiago Nonualco
San Miguel Tepezontes|Santiago Nonualco
San Pedro Nonualco|Santiago Nonualco
Santa María Ostuma|Santiago Nonualco
San Juan Nonualco|Zacatecoluca
San Rafael Obrajuelo|Zacatecoluca
Cuyultitán|Olocuilta
San Francisco Chinameca|Olocuilta
San Juan Talpa|Olocuilta
Tapalhuaca|Olocuilta
Guacotecti|Sensuntepeque
San Isidro|Sensuntepeque
Victoria|Sensuntepeque
Villa Dolores|Sensuntepeque
Cinquera|Ilobasco
Jutiapa|Ilobasco
Tejutepeque|Ilobasco
Apastepeque|San Vicente
Santa Clara|San Vicente
Santo Domingo|San Vicente
San Esteban Catarina|San Vicente
San Ildefonso|San Vicente
San Sebastián|San Vicente
Guadalupe|San Vicente
San Cayetano Istepeque|San Vicente
Tepetitán|San Vicente
Verapaz|San Vicente
California|Usulután
Concepción Batres|Usulután
Ereguayquín|Usulután
Jucuarán|Usulután
Ozatlán|Usulután
San Dionisio|Usulután
Santa Elena|Usulután
Santa María|Usulután
Tecapán|Usulután
Alegría|Berlín
El Triunfo|Berlín
Estanzuelas|Berlín
Jucuapa|Berlín
Mercedes Umaña|Berlín
Nueva Granada|Berlín
San Buena Ventura|Berlín
Santiago de María|Berlín
Puerto El Triunfo|Jiquilisco
San Agustín|Jiquilisco
San Francisco Javier|Jiquilisco
Comacarán|San Miguel
Chirilagua|San Miguel
Quelepa|Moncagua
Uluazapa|San Miguel
Carolina|Ciudad Barrios
Chapeltique|Ciudad Barrios
Nuevo Edén de San Juan|Ciudad Barrios
San Antonio|Ciudad Barrios
San Gerardo|Ciudad Barrios
San Luis de La Reina|Ciudad Barrios
Sesori|Ciudad Barrios
El Tránsito|Chinameca
Lolotique|Chinameca
Nueva Guadalupe|Chinameca
San Jorge|Chinameca
San Rafael Oriente|Chinameca
Arambala|San Francisco Gotera
Cacaopera|San Francisco Gotera
Corinto|San Francisco Gotera
Joateca|San Francisco Gotera
Jocoaitique|San Francisco Gotera
Meanguera|San Francisco Gotera
Perquín|San Francisco Gotera
Torola|San Francisco Gotera
Chilanga|San Francisco Gotera
Delicias de Concepción|San Francisco Gotera
El Divisadero|San Francisco Gotera
Gualococti|San Francisco Gotera
Guatajiagua|San Francisco Gotera
Jocoro|San Francisco Gotera
Lolotiquillo|San Francisco Gotera
Osicala|San Francisco Gotera
San Carlos|San Francisco Gotera
San Simón|San Francisco Gotera
Sensembra|San Francisco Gotera
Sociedad|San Francisco Gotera
Yamabal|San Francisco Gotera
Yoloaiquín|San Francisco Gotera
Anamorós|Santa Rosa de Lima
Bolívar|Santa Rosa de Lima
Concepción de Oriente|Santa Rosa de Lima
El Sauce|Santa Rosa de Lima
Lislique|Santa Rosa de Lima
Nueva Esparta|Santa Rosa de Lima
Pasaquina|Santa Rosa de Lima
Polorós|Santa Rosa de Lima
San José|Santa Rosa de Lima
Intipucá|La Unión
Meanguera del Golfo|Conchagua
San Alejo|Conchagua
Yayantique|La Unión
Yucuaiquín|La Unión
Apaneca - Ahuachapán|Ahuachapán - Ahuachapán
Apaneca, Ahuachapán|Ahuachapán, Ahuachapán
Apaneca (Ahuachapán)|Ahuachapán (Ahuachapán)
Apaneca/Ahuachapán|Ahuachapán/Ahuachapán
Apaneca-Ahuachapán|Ahuachapán-Ahuachapán
Concepción de Ataco - Ahuachapán|Tacuba - Ahuachapán
Concepción de Ataco, Ahuachapán|Tacuba, Ahuachapán
Concepción de Ataco (Ahuachapán)|Tacuba (Ahuachapán)
Concepción de Ataco/Ahuachapán|Tacuba/Ahuachapán
Concepción de Ataco-Ahuachapán|Tacuba-Ahuachapán
El Refugio - Ahuachapán|Atiquizaya - Ahuachapán
El Refugio, Ahuachapán|Atiquizaya, Ahuachapán
El Refugio (Ahuachapán)|Atiquizaya (Ahuachapán)
El Refugio/Ahuachapán|Atiquizaya/Ahuachapán
