0A00,A00
0A10,A18
0A20,A26
0A30,A34
0A40,A42
0A50,A50
0A60,A68
0A70,A76
0A80,A84
0A90,A92
0AA0,AA0
0AB0,AB8
0AC0,AC6
0AD0,AD4
0AE0,AE2
0AF0,AF0
0AG0,AG8
0AH0,AH6
0AI0,AI4
0AJ0,AJ2
0AK0,AK0
0AL0,AL8
0AM0,AM6
0AN0,AN4
0AO0,AO0
0AP0,AP8
0AQ0,AQ6
0AR0,AR4
0AS0,AS2
0AT0,AT0
0AU0,AU8
0AV0,AV6
0AW0,AW4
0AX0,AX2
0AY0,AY0
0AZ0,AZ8
0B00,B07
0B10,B15
0B20,B23
0B30,B31
0B40,B49
0B50,B57
0B60,B65
0B70,B73
0B80,B81
0B90,B99
0BA0,BA7
0BB0,BB5
0BC0,BC3
0BD0,BD1
0BE0,BE9
0BF0,BF7
0BG0,BG5
0BH0,BH3
0BI0,BI1
0BJ0,BJ9
0BK0,BK7
0BL0,BL5
0BM0,BM3
0BN0,BN1
0BO0,BO7
0BP0,BP5
0BQ0,BQ3
0BR0,BR1
0BS0,BS9
0BT0,BT7
0BU0,BU5
0BV0,BV3
0BW0,BW1
0BX0,BX9
0BY0,BY7
0BZ0,BZ5
0C00,C04
0C10,C12
0C20,C20
0C30,C38
0C40,C46
0C50,C54
0C60,C62
0C70,C70
0C80,C88
0C90,C96
0CA0,CA4
0CB0,CB2
0CC0,CC0
0CD0,CD8
0CE0,CE6
0CF0,CF4
0CG0,CG2
0CH0,CH0
0CI0,CI8
0CJ0,CJ6
0CK0,CK4
0CL0,CL2
0CM0,CM0
0CN0,CN8
0CO0,CO4
0CP0,CP2
0CQ0,CQ0
0CR0,CR8
0CS0,CS6
0CT0,CT4
0CU0,CU2
0CV0,CV0
0CW0,CW8
0CX0,CX6
0CY0,CY4
0CZ0,CZ2
0D00,D01
0D10,D19
0D20,D27
0D30,D35
0D40,D43
0D50,D51
0D60,D69
0D70,D77
0D80,D85
0D90,D93
0DA0,DA1
0DB0,DB9
0DC0,DC7
0DD0,DD5
0DE0,DE3
0DF0,DF1
0DG0,DG9
0DH0,DH7
0DI0,DI5
0DJ0,DJ3
0DK0,DK1
0DL0,DL9
0DM0,DM7
0DN0,DN5
0DO0,DO1
0DP0,DP9
0DQ0,DQ7
0DR0,DR5
0DS0,DS3
0DT0,DT1
0DU0,DU9
0DV0,DV7
0DW0,DW5
0DX0,DX3
0DY0,DY1
0DZ0,DZ9
0E00,E08
0E10,E16
0E20,E24
0E30,E32
0E40,E40
0E50,E58
0E60,E66
0E70,E74
0E80,E82
0E90,E90
0EA0,EA8
0EB0,EB6
0EC0,EC4
0ED0,ED2
0EE0,EE0
0EF0,EF8
0EG0,EG6
0EH0,EH4
0EI0,EI2
0EJ0,EJ0
0EK0,EK8
0EL0,EL6
0EM0,EM4
0EN0,EN2
0EO0,EO8
0EP0,EP6
0EQ0,EQ4
0ER0,ER2
0ES0,ES0
0ET0,ET8
0EU0,EU6
0EV0,EV4
0EW0,EW2
0EX0,EX0
0EY0,EY8
0EZ0,EZ6
0F00,F05
0F10,F13
0F20,F21
0F30,F39
0F40,F47
0F50,F55
0F60,F63
0F70,F71
0F80,F89
0F90,F97
0FA0,FA5
0FB0,FB3
0FC0,FC1
0FD0,FD9
0FE0,FE7
0FF0,FF5
0FG0,FG3
0FH0,FH1
0FI0,FI9
0FJ0,FJ7
0FK0,FK5
0FL0,FL3
0FM0,FM1
0FN0,FN9
0FO0,FO5
0FP0,FP3
0FQ0,FQ1
0FR0,FR9
0FS0,FS7
0FT0,FT5
0FU0,FU3
0FV0,FV1
0FW0,FW9
0FX0,FX7
0FY0,FY5
0FZ0,FZ3
0G00,G02
0G10,G10
0G20,G28
0G30,G36
0G40,G44
0G50,G52
0G60,G60
0G70,G78
0G80,G86
0G90,G94
0GA0,GA2
0GB0,GB0
0GC0,GC8
0GD0,GD6
0GE0,GE4
0GF0,GF2
0GG0,GG0
0GH0,GH8
