0000,000
0010,019
0020,027
0030,035
0040,043
0050,051
0060,06A
0070,078
0080,086
0090,094
00A0,0A2
00B0,0B0
00C0,0C9
00D0,0D7
00E0,0E5
00F0,0F3
00G0,0G1
00H0,0HA
00I0,0I8
00J0,0J6
00K0,0K4
00L0,0L2
00M0,0M0
00N0,0N9
00O0,0O5
00P0,0P3
00Q0,0Q1
00R0,0RA
00S0,0S8
00T0,0T6
00U0,0U4
00V0,0V2
00W0,0W0
00X0,0X9
00Y0,0Y7
00Z0,0Z5
0100,108
0110,116
0120,124
0130,132
0140,140
0150,159
0160,167
0170,175
0180,183
0190,191
01A0,1AA
01B0,1B8
01C0,1C6
01D0,1D4
01E0,1E2
01F0,1F0
01G0,1G9
01H0,1H7
01I0,1I5
01J0,1J3
01K0,1K1
01L0,1LA
01M0,1M8
01N0,1N6
01O0,1O2
01P0,1P0
01Q0,1Q9
01R0,1R7
01S0,1S5
01T0,1T3
01U0,1U1
01V0,1VA
01W0,1W8
01X0,1X6
01Y0,1Y4
01Z0,1Z2
0200,205
0210,213
0220,221
0230,23A
0240,248
0250,256
0260,264
0270,272
0280,280
0290,299
02A0,2A7
02B0,2B5
02C0,2C3
02D0,2D1
02E0,2EA
02F0,2F8
02G0,2G6
02H0,2H4
02I0,2I2
02J0,2J0
02K0,2K9
02L0,2L7
02M0,2M5
02N0,2N3
02O0,2OA
02P0,2P8
02Q0,2Q6
02R0,2R4
02S0,2S2
02T0,2T0
02U0,2U9
02V0,2V7
02W0,2W5
02X0,2X3
02Y0,2Y1
02Z0,2ZA
0300,302
0310,310
0320,329
0330,337
0340,345
0350,353
0360,361
0370,37A
0380,388
0390,396
03A0,3A4
03B0,3B2
03C0,3C0
03D0,3D9
03E0,3E7
03F0,3F5
03G0,3G3
03H0,3H1
03I0,3IA
03J0,3J8
03K0,3K6
03L0,3L4
03M0,3M2
03N0,3N0
03O0,3O7
03P0,3P5
03Q0,3Q3
03R0,3R1
03S0,3SA
03T0,3T8
03U0,3U6
03V0,3V4
03W0,3W2
03X0,3X0
03Y0,3Y9
03Z0,3Z7
0400,40A
0410,418
0420,426
0430,434
0440,442
0450,450
0460,469
0470,477
0480,485
0490,493
04A0,4A1
04B0,4BA
04C0,4C8
04D0,4D6
04E0,4E4
04F0,4F2
04G0,4G0
04H0,4H9
04I0,4I7
04J0,4J5
04K0,4K3
04L0,4L1
04M0,4MA
04N0,4N8
04O0,4O4
04P0,4P2
04Q0,4Q0
04R0,4R9
04S0,4S7
04T0,4T5
04U0,4U3
04V0,4V1
04W0,4WA
04X0,4X8
04Y0,4Y6
04Z0,4Z4
0500,507
0510,515
0520,523
0530,531
0540,54A
0550,558
0560,566
0570,574
0580,582
0590,590
05A0,5A9
05B0,5B7
05C0,5C5
05D0,5D3
05E0,5E1
05F0,5FA
05G0,5G8
05H0,5H6
05I0,5I4
05J0,5J2
05K0,5K0
05L0,5L9
05M0,5M7
05N0,5N5
05O0,5O1
05P0,5PA
05Q0,5Q8
05R0,5R6
05S0,5S4
05T0,5T2
05U0,5U0
05V0,5V9
05W0,5W7
05X0,5X5
05Y0,5Y3
05Z0,5Z1
0600,604
0610,612
0620,620
0630,639
0640,647
0650,655
0660,663
0670,671
0680,68A
0690,698
06A0,6A6
06B0,6B4
06C0,6C2
06D0,6D0
06E0,6E9
06F0,6F7
06G0,6G5
06H0,6H3
06I0,6I1
06J0,6JA
06K0,6K8
06L0,6L6
06M0,6M4
06N0,6N2
06O0,6O9
06P0,6P7
06Q0,6Q5
06R0,6R3
06S0,6S1
06T0,6TA
06U0,6U8
06V0,6V6
06W0,6W4
06X0,6X2
06Y0,6Y0
06Z0,6Z9
0700,701
0710,71A
0720,728
0730,736
0740,744
0750,752
0760,760
0770,779
0780,787
0790,795
07A0,7A3
07B0,7B1
07C0,7CA
07D0,7D8
07E0,7E6
07F0,7F4
07G0,7G2
07H0,7H0
07I0,7I9
07J0,7J7
07K0,7K5
07L0,7L3
07M0,7M1
07N0,7NA
07O0,7O6
07P0,7P4
07Q0,7Q2
07R0,7R0
07S0,7S9
07T0,7T7
07U0,7U5
07V0,7V3
07W0,7W1
07X0,7XA
