Comercializadora del Istmo, S.A.
Servicios Integrales del Pacífico, S.A.
Constructora Cerro Ancón, S.A.
Transportes Canal Seguro, S.A.
Agroindustrias de Azuero, S.A.
Distribuidora Chiriquí Central, S.A.
Hoteles Bahía Dorada, S.A.
Clínica San Fernando del Norte, S.A.
Colegio Particular Los Álamos, S.A.
Consultores Asociados de Veraguas, S.A.
Minera Cerro Verde, S.A.
Pesquera Golfo de Montijo, S.A.
Tecnologías del Istmo, S.A.
Supermercados La Estrella, S.A.
Ferretería El Constructor, S.A.
Logística Colón Libre, S.A.
Servicios de Limpieza Las Cumbres, S.A.
Laboratorios Cruz del Sur, S.A.
Zona Libre Import Export, S.A.
Autopartes de Coclé, S.A.
Fundación Manos Unidas
Municipio de Villa Nueva
Seguridad Privada Centinela, S.A.
Muebles y Maderas de Darién, S.A.
Restaurantes El Fogón, S.A.
